1642990617470;2113;303;1337;51;0;0;3.25;19.25;17.0
1642990617658;306;2113;1338;52;0;0;2.25;19.25;17.0
1642990619128;1482;306;1338;54;0;0;-0.5;18.0;18.25
1642990622450;3323;1482;1388;69;0;0;13.75;19.75;16.5
1642990623546;987;3323;1430;72;0;0;0.5;19.0;17.25
1642994112698;525;523;1437;69;0;0;2.75;17.75;17.0
1642994112870;500;525;1437;7;0;0;-2.75;21.0;13.5
1642994113285;484;500;231;7;0;0;-2.75;21.0;13.75
1642994113724;476;484;254;7;0;0;-3.25;21.0;14.0
1642994114550;477;476;271;200;0;0;-3.0;20.75;13.75
1642994114759;490;477;274;184;0;0;-3.75;21.0;13.5
1642994115182;501;490;279;184;0;0;-3.25;21.0;13.5
1642994115820;523;501;285;159;0;0;-3.5;21.0;13.5
1642994116451;524;523;288;149;0;0;-1.25;21.0;7.5
1642994117075;531;524;289;149;0;0;6.0;19.5;-16.5
1642994117284;535;531;289;140;0;0;5.25;19.25;-17.5
1642994117900;532;535;295;124;0;0;5.5;19.5;-16.75
1642994118321;529;532;297;124;0;0;4.75;19.75;-16.25
1642994118931;522;529;297;112;0;0;-0.25;21.75;-3.0
1642994119536;518;522;294;107;0;0;-4.75;21.25;-9.75
1642994119982;527;518;293;107;0;0;-4.75;21.5;-9.5
1642994120581;538;527;291;102;0;0;-4.5;21.25;-9.25
1642994120981;550;538;290;97;0;0;-5.75;21.75;-14.0
1642994121596;537;550;290;116;0;0;-5.75;21.5;-10.0
1642994122014;508;537;290;116;0;0;1.0;21.0;0.0
1642994122649;509;508;289;116;0;0;-4.0;21.0;0.0
